path,line,variable_name_or_match,radius_or_diameter,units,physical_meaning,status,downstream_outputs
audit_f_fmax_shift/tables/unit_audit.csv,5,"D_bl,micrometre,micrometre,ok",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/tables/final_recommended_results.csv,3,"diagnostic_joint,retain as diagnostic sensitivity analysis,lower fmax is traceable to changed blowou",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/tables/reference_vs_diagnostic_inputs.csv,8,"blowout_um,blowout diameter,reference,um,0.9037651775935341,1.201073189471995,1.4996199294892967,0.1",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/tables/reference_vs_diagnostic_inputs.csv,9,"blowout_um,blowout diameter,diagnostic,um,20.0,20.0,20.0,20.0,20.0",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/tables/one_factor_decomposition.csv,6,"4,blowout_um,0.061486756182804664,0.26237128539880006,4.267118672169839,0.6301347211231609,evaluated",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/tables/one_factor_decomposition.csv,14,"12,stellar_luminosity,,,1.0,0.0,not_separable: not an independent Eq.14 argument; enters only throug",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/tables/interaction_decomposition.csv,6,"blowout_um,0.6230534282682055,0.008856209075360636,2000",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/posterior_diagnostics/correlations.csv,5,"blowout_um,,,,",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/manuscript_text/replacement_text.md,9,"A source-level audit reproduced both pathways and found the same Wyatt Eq. 14 implementation, consis",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/tests/test_reconciliation.py,13,"""age_myr"": np.array([7600.0, 7600.0]), ""blowout_um"": np.array([1.2, 1.2]),",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/tests/test_reconciliation.py,54,"kwargs = dict(stellar_mass_solar=0.78, age_myr=7600.0, blowout_diameter_um=1.2, largest_body_km=100.",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/inventories/configuration_diff.json,2,"""diagnostic_blowout_um"": 20.0,",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/inventories/configuration_diff.json,11,"""reference_blowout_um"": ""truncated Normal(1.2,0.3)"",",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/inventories/reference_pipeline.md,5,The reference posterior is sampled from `results/sed/single_mbb_posterior.npz` using seed 20260723 a,diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/inventories/diagnostic_pipeline.md,3,Entry point: `run_joint_map_visibility_posterior.py`. Stored posterior draws are in `results/tables/,diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/final_report/f_fmax_reconciliation_report.md,5,1. **Why did f/fmax increase while f decreased?** The lower luminosity alone moves the ratio downwar,diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/final_report/f_fmax_reconciliation_report.md,6,2. **What caused the lower fmax?** The implemented Eq. 14 is shared and unit-consistent. The dominan,diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/final_report/f_fmax_reconciliation_report.md,26,- blowout_um: ×4.17 (Δlog10=0.6202),diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/final_report/f_fmax_reconciliation_report.md,36,"The reference implementation uses Wyatt et al. (2007) Eq. 14 with r and dr in AU, age in Myr, D_c in",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/parameter_decomposition/shapley_contributions.csv,6,"blowout_um,0.6230534282682055,0.008856209075360636,2000",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/unit_audit/implemented_equations.md,9,"The code uses `q=11/6`, `r` and `dr` in AU, age in Myr, stellar mass in solar masses, `D_c` in km, `",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/unit_audit/coefficient_comparison.csv,7,"diameter ratio,Dbl*1e-9/Dc,Dbl*1e-9/Dc,same implementation",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
audit_f_fmax_shift/unit_audit/dimensional_analysis.md,10,| D_bl | micrometres | truncated Normal near 1.2 | fixed 20 |,diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
results/tables/constraint_propagation_summary.csv,8,"radiation_blowout_radius,0.30622,0.28537,0.32787,micron; compact-grain model",diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
results/tables/collisional_geometry_priors.csv,5,"A_characteristic_radius_ring,blowout_diameter_um,""truncated Normal(1.2,0.3); model assumption""",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
results/tables/collisional_geometry_priors.csv,13,"B_continuous_broad_belt,blowout_diameter_um,""truncated Normal(1.2,0.3); model assumption""",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
results/tables/collisional_geometry_priors.csv,21,"C_independent_annuli,blowout_diameter_um,""truncated Normal(1.2,0.3); model assumption""",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
results/tables/collisional_geometry_delta_sensitivity.csv,4,"blowout_diameter_um,-0.0014327472461038188,0.5216913797547815",diameter unless source text says radius,um where specified; otherwise inspect source,radiation-pressure blowout variable,fixed/sampled/derived documented in config and source audit,collisional or grain audit
results/tables/final_sample_flow_audit.csv,1,"canonical_star_id,in_raw_debris,in_parsed_debris,passes_photometry,passes_stellar_parameters,passes_",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/processed/debris_canonical_photometry.csv,1,"canonical_star_id,source_target_name,uns_id,hd_number,hip_number,gaia_source_id,survey,spectral_type",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/processed/collisional_scenario_inputs.csv,5,"blowout_diameter_um,normal_truncated,""mean=1.2;sd=0.3;lower=0.1"",Model assumption,""Compact-grain rad",diameter unless source text says radius,um where specified; otherwise inspect source,minimum/physical grain-size label,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/processed/tau_ceti_sed.csv,1,"measurement_id,instrument,survey,wavelength_um,frequency_hz,total_flux_mjy,total_flux_error_mjy,phot",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/processed/debris_table_a1_canonical.csv,1,"canonical_star_id,source_target_name,uns_id,hd_number,hip_number,gaia_source_id,survey,spectral_type",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/metadata/alma_observation_inventory.csv,1,"archive_system,proposal_id,target_name,member_ous_uid,group_ous_uid,asdm_uid,schedblock_name,scan_in",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/metadata/alma_observation_inventory.csv,2,"ALMA Science Archive,2013.1.00588.S,J0132-1654,uid://A001/X121/X3b7,uid://A001/X121/X3b6,uid://A002/",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/metadata/alma_observation_inventory.csv,3,"ALMA Science Archive,2013.1.00588.S,J0137-2430,uid://A001/X121/X3b7,uid://A001/X121/X3b6,uid://A002/",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/metadata/alma_observation_inventory.csv,4,"ALMA Science Archive,2013.1.00588.S,Uranus,uid://A001/X121/X3b7,uid://A001/X121/X3b6,uid://A002/X970",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/metadata/alma_observation_inventory.csv,5,"ALMA Science Archive,2013.1.00588.S,tau_Ceti,uid://A001/X121/X3b7,uid://A001/X121/X3b6,uid://A002/X9",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/metadata/alma_observation_inventory.csv,6,"ALMA Science Archive,2013.1.00588.S,J0132-1654,uid://A001/X121/X3b9,uid://A001/X121/X3b6,uid://A002/",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/metadata/alma_observation_inventory.csv,7,"ALMA Science Archive,2013.1.00588.S,J0137-2430,uid://A001/X121/X3b9,uid://A001/X121/X3b6,uid://A002/",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/metadata/alma_observation_inventory.csv,8,"ALMA Science Archive,2013.1.00588.S,Uranus,uid://A001/X121/X3b9,uid://A001/X121/X3b6,uid://A002/X860",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/metadata/alma_observation_inventory.csv,9,"ALMA Science Archive,2013.1.00588.S,tau_Ceti,uid://A001/X121/X3b9,uid://A001/X121/X3b6,uid://A002/X8",diameter unless source text says radius,um where specified; otherwise inspect source,fixed 20 um substitution,fixed/sampled/derived documented in config and source audit,collisional or grain audit
data/metadata/raw/alma_tap_tau_ceti.csv,1,"proposal_id,target_name,member_ous_uid,group_ous_uid,asdm_uid,schedblock_name,scan_intent,science_ob",diameter unless source text says radius,um where specified; otherwise inspect source,grain-size occurrence,fixed/sampled/derived documented in config and source audit,collisional or grain audit
